12248883;Pilier_d'Yzeures-sur-Creuse;Géographie Histoire Art&Loisir
473808;Le_Pin_(Loire-Atlantique);Géographie
3957125;Ploërmel;Géographie
1094509;Pont_du_Forth;Géographie
3432562;Pont_George-V;Géographie Histoire
1957923;Port-Royal_des_Champs;Géographie Histoire Culture&Religion
19058;Prague;Géographie
11860895;Prieuré_du_Louroux;Géographie Histoire Culture&Religion
206991;Primatiale_Saint-Jean_de_Lyon;Géographie Histoire Culture&Religion
254441;Puncak_Jaya;Géographie
1134826;Québec;Géographie
446424;Basilique_Saint-Sauveur_de_Rennes;Géographie Histoire Culture&Religion
326865;Rimogne;Géographie
66296;Roissy-en-France;Géographie
555513;Ronchamp;Géographie
72568;Rotterdam;Géographie
106946;Royan;Géographie
13942999;Rue_du_Pré-de-la-Bataille;Géographie
12441503;Sac_de_Dinant_(1914);Géographie Histoire
56154;Sagrada_Família;Géographie Histoire Culture&Religion Art&Loisir
30306;Sardaigne;Géographie
191016;Sare;Géographie
115842;Sélestat;Géographie
1047525;Forêt_nationale_de_Shoshone;Géographie Science
548151;Site_archéologique_de_Cherré;Géographie Histoire
861510;Skellig_Michael;Géographie Science Culture&Religion
128678;Skopje;Géographie
2894;Strasbourg;Géographie Histoire
410328;Surtsey;Géographie Science
761000;Vol_Swissair_111;Géographie Histoire
1545196;Synagogue_de_Besançon;Géographie Histoire Culture&Religion
75061;Téhéran;Géographie
616861;Teide;Géographie Science
8484075;Temple_gallo-romain_de_Tours;Géographie Histoire
14405438;Théâtre_antique_d'Alauna;Géographie Histoire
14418911;Thermes_antiques_d'Alauna;Géographie Histoire
9455484;Tasciaca;Géographie Histoire
405309;Three_Sisters_(Oregon);Géographie Science
153881;Tivoli;Géographie
62913;Tōdai-ji;Géographie Culture&Religion
2996;Toulouse;Géographie Histoire
56291;Le_Touquet-Paris-Plage;Géographie Art&Loisir
79996;Tozeur;Géographie
4791751;Trésor_de_Hoxne;Géographie Histoire
962149;Tunis;Géographie
6984680;Upper_et_Lower_Table_Rocks;Géographie Science
95128;Ur_(Mésopotamie);Géographie Histoire
3573284;Vol_US_Airways_1549;Géographie Histoire
905643;Gare_du_Val_d'Or;Géographie
86835;Val_sans_retour;Géographie Science Histoire Culture&Religion
2764705;Viaduc_de_Millau;Géographie
402280;Villeloin-Coulangé;Géographie
19546;Vitry-le-François;Géographie Histoire
60614;Amphipolis;Géographie Histoire
3028510;Antarctique;Géographie
107133;Authie_(fleuve);Géographie
77320;Baltimore;Géographie
1717267;Bèze_(rivière);Géographie
135462;Bresle;Géographie
114815;Parc_national_de_Bryce_Canyon;Géographie Science
8079;Canal_du_Midi;Géographie Art&Loisir
494106;Réservoir_de_Caniapiscau;Géographie
7983763;Carança;Géographie
6106267;Réserve_naturelle_régionale_de_la_carrière_des_Nerviens;Géographie Science
304717;Chaîne_des_Cascades;Géographie
1318733;Chaîne_Transantarctique;Géographie
576;Chili;Géographie
201454;Columbia_(fleuve);Géographie
4870834;Cratères_de_Mono-Inyo;Géographie Science
15829;Danube;Géographie
12624;Denver;Géographie
436253;Dougga;Géographie Histoire
253954;Elbourz;Géographie
158800;Parc_national_des_Everglades;Géographie Science
5581835;Parc_national_de_Färnebofjärden;Géographie Science
1134;Floride;Géographie
1095;France;Géographie
972433;Parc_national_de_Fundy;Géographie Science
177819;Herculanum;Géographie Science Histoire
1507;Indonésie;Géographie
1786;Los_Angeles;Géographie
77479;Louisville_(Kentucky);Géographie
8644;Macédoine_du_Nord;Géographie Histoire
202600;Parc_national_de_Mammoth_Cave;Géographie Science
25928;Mer_de_Glace;Géographie Art&Loisir
7793;Mississippi_(fleuve);Géographie
234957;Nicopolis_d'Épire;Géographie Histoire
203542;Parc_national_Olympique;Géographie Science
203738;Parc_national_de_Glacier;Géographie Science
123173;Parc_national_de_Grand_Teton;Géographie Science
89572;Parc_national_de_Yellowstone;Géographie Science
156789;Parc_national_de_Zion;Géographie Science
204194;Parc_national_des_North_Cascades;Géographie Science
204193;Parc_national_du_mont_Rainier;Géographie Science
5975778;Passage_des_Alpes_par_Hannibal;Géographie Histoire
201856;Pella_(cité_antique);Géographie Histoire
102394;Persépolis;Géographie Histoire
5351;Pétra;Géographie Histoire
179506;Philippes;Géographie Histoire Culture&Religion
3987172;Pile_de_Cinq-Mars;Géographie Histoire
2098908;Réserve_naturelle_nationale_des_sagnes_de_La_Godivelle;Géographie Science
4375181;Parc_national_de_Sarek;Géographie Science
29258;Statue_de_la_Liberté;Géographie Histoire Culture&Religion Art&Loisir
4377652;Parc_national_de_Stora_Sjöfallet;Géographie Science
3027;Terre;Géographie Science
2949;Texas;Géographie Histoire
102448;Þingvellir;Géographie Science Histoire
3006;Tunisie;Géographie
103597;Site_archéologique_de_Volubilis;Géographie Histoire
111107;Parc_national_de_Yosemite;Géographie Science
9253139;1_000_kilomètres_de_Spa_2009;Histoire Sport
605584;Les_101_Dalmatiens_(film,_1961);Art&Loisir Histoire
6672844;À_l'Olympia_(album_d'Alan_Stivell);Histoire
1486250;L'Abbaye_de_Northanger;Histoire
52519;Achéménides;Histoire
5381529;Adam_Bede;Histoire
1008528;Bataille_d'Adoua;Histoire
1178668;Affaire_Blomberg-Fritsch;Histoire
4565701;Affaire_de_Hautefaye;Histoire
45864;Affaire_des_fiches_(France);Histoire Culture&Religion
23232;Affaire_Dreyfus;Histoire Culture&Religion
8582607;Affaire_Leigh_Leigh;Histoire
636836;Agathocle_de_Syracuse;Histoire
1282795;Âge_d'argent_des_comics;Histoire
1414240;Âge_d'or_des_comics;Histoire
94191;Ahmôsis_Ier;Histoire
34801;Albert_Ier_(roi_des_Belges);Histoire Sport
3168299;Alexandre_le_Grand;Histoire
486422;Alexandre_Ier_(roi_des_Hellènes);Histoire
144050;Alexis_Ier_Comnène;Histoire
420395;Alice_au_pays_des_merveilles_(film,_1951);Art&Loisir Histoire
3640783;Almanach_royal;Histoire
242380;American_Idiot;Histoire
4335316;L'Ami_commun;Histoire
4964273;Amour_endormi;Art&Loisir Histoire Culture&Religion
2504562;L'Amour_victorieux;Art&Loisir Histoire Culture&Religion
226894;Anasazis;Histoire
7335963;Anatomie_de_la_société_dans_La_Maison_d'Âpre-Vent;Histoire
10837;Anaximandre;Science Histoire
612352;André_de_Grèce;Histoire
321689;Thomas_Andrews;Histoire
382088;Andronic_Ier_Comnène;Histoire
12250573;Anges_musiciens_(National_Gallery);Art&Loisir Histoire
3558671;Angevin_(cheval);Histoire
3539960;Animaux_dans_le_Proche-Orient_ancien;Science Histoire
102636;Anschluss;Histoire
65246;Antiquité_tardive;Histoire Culture&Religion
132;Anubis;Histoire Culture&Religion
1012434;Arc_long_anglais;Histoire Sport
153722;Les_Aristochats;Art&Loisir Histoire
416280;Art_safavide;Art&Loisir Histoire
1405345;Artaxiades;Histoire
307714;Arts_de_l'Islam;Art&Loisir Histoire Culture&Religion
8748513;Aspects_économiques_et_logistiques_des_guerres_napoléoniennes;Histoire
6118353;Assassin's_Creed_III;Histoire
3507658;Assassinat_d'Abraham_Lincoln;Histoire
64257;Assyrie;Histoire
171077;John_Jacob_Astor_IV;Histoire Sport
836145;Atlantide,_l'empire_perdu;Art&Loisir Histoire
10095186;Attaque_du_camp_de_Looking_Glass;Histoire
3428904;Attaques_allemandes_sur_Nauru;Histoire
43987;Attila;Histoire
60;Attributs_du_pharaon;Histoire
9833969;Au-delà_(Égypte_antique);Histoire
1370697;Aucassin_et_Nicolette;Histoire
37331;Augustin_d'Hippone;Histoire Culture&Religion
5589946;Augustin_ou_Le_Maître_est_là;Histoire Culture&Religion
3251283;Jane_Austen;Histoire
6914236;Autel_de_la_Gens_Augusta;Histoire Culture&Religion
1300903;Les_Aventures_d'Arthur_Gordon_Pym;Histoire
4485026;Les_Aventures_de_Bernard_et_Bianca;Art&Loisir Histoire
8573024;Les_Aventures_de_Roderick_Random;Histoire
1291999;Les_Aventures_de_Tom_Sawyer;Histoire
768078;Les_Aventures_de_Winnie_l'ourson_(film);Art&Loisir Histoire
12329;Averroès;Science Histoire Culture&Religion
4964469;Bacchus_(Le_Caravage);Art&Loisir Science Histoire Culture&Religion
5221930;Opération_Badr_(1973);Histoire
2037398;Achot_Ier_d'Arménie;Histoire
2243752;Hobey_Baker;Histoire Sport
1536890;Honoré_de_Balzac;Histoire
4154497;Bambi_(film,_1942);Art&Loisir Histoire
12751645;Baptistère_de_Bekalta;Histoire Culture&Religion
5531626;Barnaby_Rudge;Histoire
101057;Bataille_de_Barnet;Histoire
20944;Gino_Bartali;Histoire Sport
357178;Barton_Fink;Histoire
366548;Basile_II;Histoire
177198;Bataille_des_Cardinaux;Histoire
990948;Bataille_d'Héraclée;Histoire
9621992;Bataille_de_Cottonwood;Histoire
9602811;Bataille_de_la_Clearwater;Histoire
5546908;Bataille_de_White_Bird_Canyon;Histoire
3368857;Bataille_de_Noirmoutier_(1794);Histoire
2985612;Batailles_de_Latroun_(1948);Histoire
998702;Alice_de_Battenberg;Histoire
630439;Bayard_(cheval);Histoire
6804100;États_de_Béarn;Histoire
13724286;Henri-Charles_de_Beaumanoir_de_Lavardin;Histoire
1699431;Baudouin_de_Belgique_(1869-1891);Histoire
948401;Henriette_de_Belgique;Histoire
1573101;Louise_de_Belgique;Histoire
1042159;Philippe_de_Belgique_(1837-1905);Histoire
993140;Stéphanie_de_Belgique;Histoire
602455;La_Belle_au_bois_dormant_(film,_1959);Art&Loisir Histoire
602444;La_Belle_et_le_Clochard;Art&Loisir Science Histoire
4887736;Bentley_4½_Litre;Histoire Sport
4891893;Bentley_6½_Litre;Histoire Sport
10925;Bibliothèque_nationale_de_France;Histoire Culture&Religion
108852;Les_Bijoux_de_la_Castafiore;Histoire
668895;Birka_et_Hovgården;Histoire
20470;Otto_von_Bismarck;Histoire
21270;Blade_Runner_(film);Histoire
210276;Blanche-Neige_et_les_Sept_Nains;Art&Loisir Histoire
829381;Bleach_(album);Histoire
9858600;Affaire_Cécile_Bloch;Histoire
20946;Louison_Bobet;Histoire Sport
77477;Luigi_Boccherini;Histoire
27830;Jean_Bodin;Histoire
35239;Benoît_de_Boigne;Histoire
461378;Bonaparte_franchissant_le_Grand-Saint-Bernard;Art&Loisir Histoire
66820;Joseph_Bonaparte;Histoire
131113;Pierre_Bonnard;Art&Loisir Histoire
3059998;Pierre_Bonny;Histoire
137234;Boris_III;Histoire
4653360;Bataille_de_Bouin;Histoire
1083365;Thérèse-Christine_de_Bourbon-Siciles;Histoire
11912;Paul_Bourget;Histoire Culture&Religion
4648886;Histoire_de_la_Bourgogne;Histoire
14489145;Maison_de_Bournonville;Histoire
5179279;Brabham_BT60B;Histoire Sport
3687069;Brawn_BGP_001;Histoire Sport
22530;Histoire_de_la_Bretagne;Histoire
3061134;Érard_de_Brienne-Ramerupt;Histoire
4330260;La_Brigade_chimérique;Histoire
487957;Britannic;Histoire
1094356;Margaret_Brown;Histoire
368872;Bugatti_Type_35;Histoire Sport
5905360;Caixa_de_Rotllan;Histoire
36549;Jean-Jacques-Régis_de_Cambacérès;Histoire
1445768;Canots_de_sauvetage_du_Titanic;Histoire
9761625;Canzone;Histoire
86996;Le_Caravage;Art&Loisir Histoire
2136770;Careless_Whisper;Histoire
62324;Carin;Histoire
26982;Sadi_Carnot_(physicien);Science Histoire
96795;Casablanca_(film);Histoire
396303;Catherine_de_Sienne;Histoire Culture&Religion
114263;Camillo_Cavour;Histoire
4623543;Cendrillon_(film,_1950);Art&Loisir Histoire
3498999;Cent_vues_d'Edo;Art&Loisir Histoire
643741;Chanson_des_quatre_fils_Aymon;Histoire
12267599;Chant_séculaire;Histoire
9759575;Chapelle_Saint-Jean_du_Liget;Histoire Culture&Religion
64432;Charles_II_de_Navarre;Histoire
35579;Charles_V_le_Sage;Histoire
2500458;Chartreuse_du_Liget;Histoire Culture&Religion
6355369;Chartreuse_de_Molsheim;Histoire Culture&Religion
3486665;Château_de_Challain-la-Potherie;Histoire
2558810;Château_de_Châteaubriant;Histoire
